,Year,#,Team,Pts,Opp.Pts,Margin,Pace,Off. Eff,Def. Eff,Net Rtg.,EFg%,Opp. EFg%,Ts%,Opp. Ts%,Reb. %,Eff.,Opp. Eff.,Win,Loss
76,2017,17,Milwaukee Bucks,103.62,103.81,-0.18,93.77,109.95,109.89,0.06,0.527,0.518,0.565,0.557,48.76,120.0,118.11,42.0,40.0
77,2017,18,Minnesota Timberwolves,105.57,106.68,-1.11,94.16,111.42,112.34,-0.93,0.511,0.535,0.555,0.5710000000000001,51.21,120.89,120.11,31.0,51.0
78,2017,19,New Orleans Pelicans,104.34,106.44,-2.1,97.23,106.1,108.17,-2.07,0.504,0.509,0.539,0.542,47.48,118.4,122.5,34.0,48.0
79,2017,20,New York Knicks,104.34,108.01,-3.67,95.6,108.18,112.17,-3.99,0.496,0.511,0.534,0.551,50.26,117.37,121.12,31.0,51.0
80,2017,21,Oklahoma City Thunder,106.6,105.84,0.76,97.1,109.09,108.6,0.49,0.5,0.511,0.54,0.551,53.42,117.95,116.87,47.0,35.0
81,2017,22,Orlando Magic,101.07,107.65,-6.57,95.67,104.98,111.58,-6.6,0.489,0.523,0.524,0.5589999999999999,48.68,111.39,125.68,29.0,53.0
82,2017,23,Philadelphia 76ers,102.44,108.13,-5.7,97.96,103.78,109.65,-5.87,0.501,0.512,0.539,0.555,48.78,113.99,123.05,28.0,54.0
83,2017,24,Phoenix Suns,107.7,113.33,-5.63,99.62,107.29,112.96,-5.67,0.493,0.525,0.5379999999999999,0.5720000000000001,50.52,115.84,126.15,24.0,58.0
84,2017,25,Portland Trailblazers,107.94,108.46,-0.52,96.18,110.82,111.58,-0.76,0.52,0.508,0.5589999999999999,0.5539999999999999,49.81,119.83,120.92,41.0,41.0
85,2017,26,Sacramento Kings,102.81,106.68,-3.88,94.19,108.05,112.1,-4.05,0.516,0.528,0.556,0.568,48.92,114.34,123.34,32.0,50.0
86,2017,27,San Antonio Spurs,105.33,98.13,7.2,93.5,111.94,104.07,7.86,0.524,0.49200000000000005,0.564,0.53,51.41,125.16,107.55,61.0,21.0
87,2017,28,Toronto Raptors,106.85,102.65,4.21,94.28,112.77,108.5,4.27,0.517,0.507,0.561,0.55,50.69,119.68,113.0,51.0,31.0
88,2017,29,Utah Jazz,100.71,96.77,3.94,90.36,111.03,106.63,4.4,0.526,0.493,0.563,0.531,51.82,114.61,103.94,51.0,31.0
89,2017,30,Washington Wizards,109.18,107.38,1.81,96.76,111.84,110.13,1.71,0.528,0.524,0.564,0.561,49.89,124.5,119.01,49.0,33.0
90,2016,1,Atlanta Hawks,102.63,99.1,3.54,96.52,105.53,102.15,3.38,0.516,0.48,0.552,0.518,47.5,120.71,111.39,48.0,34.0
91,2016,2,Brooklyn Nets,98.65,106.0,-7.35,94.83,103.63,111.11,-7.48,0.491,0.534,0.527,0.565,49.42,109.54,125.33,21.0,61.0
92,2016,3,Boston Celtics,105.72,102.51,3.21,98.18,107.13,104.04,3.1,0.488,0.48700000000000004,0.531,0.531,49.4,119.73,112.77,48.0,34.0
93,2016,4,Charlotte Hornets,103.4,100.68,2.72,95.02,107.86,105.21,2.65,0.502,0.496,0.545,0.534,49.6,117.4,115.57,48.0,34.0
94,2016,5,Chicago Bulls,101.65,103.12,-1.48,95.45,105.29,106.94,-1.65,0.48700000000000004,0.485,0.526,0.52,50.2,115.89,118.18,42.0,40.0
95,2016,6,Cleveland Cavaliers,104.33,98.33,6.0,92.72,111.52,105.01,6.51,0.524,0.496,0.5579999999999999,0.534,52.04,118.43,108.37,57.0,25.0
96,2016,7,Dallas Mavericks,102.29,102.6,-0.31,94.07,106.98,107.28,-0.31,0.502,0.504,0.544,0.54,48.49,114.32,116.22,42.0,40.0
97,2016,8,Denver Nuggets,101.89,104.99,-3.1,95.27,106.14,109.32,-3.19,0.489,0.515,0.531,0.5539999999999999,51.1,113.94,121.27,33.0,49.0
98,2016,9,Detroit Pistons,101.96,101.35,0.61,94.49,106.82,106.17,0.65,0.491,0.504,0.522,0.542,52.12,108.48,114.17,44.0,38.0
99,2016,10,Golden State Warriors,114.89,104.13,10.76,98.78,115.14,103.97,11.17,0.563,0.479,0.593,0.52,51.28,139.66,112.73,73.0,9.0
100,2016,11,Houston Rockets,106.55,106.35,0.2,97.14,108.86,108.59,0.27,0.516,0.516,0.5529999999999999,0.5539999999999999,49.1,117.09,121.6,41.0,41.0
101,2016,12,Indiana Pacers,102.16,100.45,1.71,96.31,105.0,103.26,1.74,0.49700000000000005,0.489,0.536,0.528,49.83,114.84,109.46,45.0,37.0
102,2016,13,Los Angeles Clippers,104.5,100.22,4.28,95.52,108.58,104.22,4.36,0.524,0.48,0.556,0.523,47.39,119.06,109.51,53.0,29.0
103,2016,14,Los Angeles Lakers,97.34,106.9,-9.56,95.31,101.88,112.01,-10.14,0.46,0.523,0.508,0.556,48.06,101.52,127.56,17.0,65.0
104,2016,15,Memphis Grizzlies,99.1,101.34,-2.24,92.76,106.03,108.25,-2.22,0.47700000000000004,0.518,0.524,0.563,49.08,109.62,114.89,42.0,40.0
105,2016,16,Miami Heat,100.04,98.4,1.64,92.91,106.85,104.9,1.95,0.508,0.485,0.545,0.525,51.68,115.85,107.17,48.0,34.0
106,2016,17,Milwaukee Bucks,99.04,103.23,-4.2,93.65,104.95,109.13,-4.18,0.499,0.51,0.537,0.551,49.26,113.63,118.99,33.0,49.0
107,2016,18,Minnesota Timberwolves,102.42,105.95,-3.54,94.83,106.91,110.35,-3.44,0.498,0.524,0.55,0.5589999999999999,49.79,116.38,118.82,29.0,53.0
108,2016,19,New Orleans Pelicans,102.72,106.51,-3.79,96.5,105.91,109.95,-4.04,0.498,0.523,0.537,0.564,48.96,113.98,123.54,30.0,52.0
109,2016,20,New York Knicks,98.22,100.88,-2.66,92.89,105.08,107.79,-2.72,0.483,0.48700000000000004,0.526,0.526,50.1,110.45,112.85,32.0,50.0
110,2016,21,Oklahoma City Thunder,110.22,102.94,7.28,96.34,113.54,106.07,7.47,0.524,0.484,0.5660000000000001,0.524,54.74,128.88,110.38,55.0,27.0
111,2016,22,Orlando Magic,102.06,103.68,-1.62,95.57,105.59,107.13,-1.54,0.5,0.513,0.5329999999999999,0.551,49.44,116.49,118.38,35.0,47.0
112,2016,23,Philadelphia 76ers,97.42,107.65,-10.23,97.29,99.5,110.23,-10.73,0.48700000000000004,0.51,0.519,0.555,46.44,104.24,127.18,10.0,72.0
113,2016,24,Phoenix Suns,100.87,107.52,-6.66,98.17,102.62,109.58,-6.97,0.48700000000000004,0.523,0.526,0.563,50.63,107.24,123.02,23.0,59.0
114,2016,25,Portland Trailblazers,105.15,104.32,0.83,95.82,109.04,108.47,0.57,0.511,0.503,0.5479999999999999,0.5429999999999999,51.0,116.42,116.42,44.0,38.0
115,2016,26,Sacramento Kings,106.59,109.06,-2.48,99.61,106.33,108.94,-2.62,0.51,0.521,0.546,0.557,49.56,119.85,124.13,33.0,49.0
116,2016,27,San Antonio Spurs,103.54,92.89,10.65,93.27,110.87,99.47,11.4,0.526,0.47700000000000004,0.563,0.514,52.01,126.81,100.18,67.0,15.0
117,2016,28,Toronto Raptors,102.71,98.21,4.5,92.13,110.92,105.99,4.93,0.504,0.498,0.552,0.535,51.56,115.33,108.59,56.0,26.0
118,2016,29,Utah Jazz,97.68,95.89,1.79,90.47,106.49,104.6,1.89,0.501,0.495,0.54,0.534,51.9,108.29,104.45,40.0,42.0
119,2016,30,Washington Wizards,104.07,104.56,-0.49,97.81,106.0,106.5,-0.5,0.511,0.515,0.544,0.555,48.59,116.67,117.61,41.0,41.0
120,2015,1,Atlanta Hawks,102.55,97.12,5.43,93.6,109.28,103.67,5.61,0.527,0.49200000000000005,0.564,0.528,48.18,120.76,109.82,60.0,22.0
121,2015,2,Brooklyn Nets,98.02,100.9,-2.88,92.35,104.81,107.61,-2.8,0.491,0.506,0.529,0.539,48.86,107.95,116.67,38.0,44.0
122,2015,3,Boston Celtics,101.37,101.21,0.16,95.47,105.11,105.08,0.03,0.489,0.494,0.523,0.5329999999999999,49.52,114.24,113.37,40.0,42.0
123,2015,4,Charlotte Hornets,94.16,97.33,-3.17,92.19,100.98,104.29,-3.31,0.456,0.48700000000000004,0.498,0.525,49.96,104.02,111.52,33.0,49.0
124,2015,5,Chicago Bulls,100.79,97.79,3.0,92.46,107.91,104.41,3.5,0.489,0.473,0.536,0.51,51.3,115.39,108.43,50.0,32.0
125,2015,6,Cleveland Cavaliers,103.13,98.66,4.48,92.18,111.32,106.66,4.66,0.52,0.502,0.557,0.535,51.1,115.71,112.93,53.0,29.0
126,2015,7,Dallas Mavericks,105.22,102.32,2.9,95.11,109.52,106.55,2.97,0.515,0.503,0.55,0.541,47.81,118.38,114.28,50.0,32.0
127,2015,8,Denver Nuggets,101.46,105.01,-3.55,95.7,104.96,108.7,-3.74,0.479,0.504,0.518,0.546,49.78,110.49,120.68,30.0,52.0
128,2015,9,Detroit Pistons,98.5,99.5,-1.0,92.45,105.73,106.92,-1.19,0.48200000000000004,0.502,0.515,0.539,50.45,109.21,115.79,32.0,50.0
129,2015,10,Golden State Warriors,109.95,99.85,10.1,96.56,113.58,102.76,10.82,0.54,0.469,0.5710000000000001,0.514,50.06,133.06,106.44,67.0,15.0
130,2015,11,Houston Rockets,103.93,100.49,3.44,94.9,108.82,105.09,3.74,0.512,0.486,0.5479999999999999,0.526,49.91,114.54,111.04,56.0,26.0
131,2015,12,Indiana Pacers,97.33,97.05,0.28,92.7,104.07,104.0,0.07,0.484,0.478,0.523,0.521,51.22,108.95,107.13,38.0,44.0
132,2015,13,Los Angeles Clippers,106.72,100.13,6.59,94.13,113.09,106.22,6.87,0.5329999999999999,0.493,0.565,0.535,49.84,123.89,109.83,56.0,26.0
133,2015,14,Los Angeles Lakers,98.45,105.29,-6.84,93.77,103.67,110.98,-7.3,0.473,0.518,0.513,0.557,49.83,107.66,122.37,21.0,61.0
134,2015,15,Memphis Grizzlies,98.32,95.07,3.24,90.53,107.38,103.86,3.52,0.489,0.49200000000000005,0.531,0.526,50.07,112.45,104.89,55.0,27.0
135,2015,16,Miami Heat,93.33,96.22,-2.89,90.3,103.1,106.03,-2.94,0.499,0.505,0.54,0.5429999999999999,48.66,102.32,106.94,37.0,45.0
136,2015,17,Milwaukee Bucks,97.84,97.42,0.43,93.58,103.24,102.52,0.73,0.499,0.48700000000000004,0.536,0.529,49.54,112.56,107.24,41.0,41.0
137,2015,18,Minnesota Timberwolves,97.76,106.55,-8.79,94.32,102.99,112.52,-9.52,0.46799999999999997,0.537,0.517,0.569,48.45,105.61,124.48,16.0,66.0
138,2015,19,New Orleans Pelicans,99.35,98.56,0.79,89.91,109.95,109.0,0.95,0.501,0.496,0.537,0.5329999999999999,51.13,114.83,111.26,45.0,37.0
139,2015,20,New York Knicks,90.83,99.85,-9.03,90.88,99.07,108.87,-9.8,0.47,0.512,0.508,0.5539999999999999,48.24,99.02,114.37,17.0,65.0
140,2015,21,Oklahoma City Thunder,103.95,101.77,2.18,94.5,109.17,107.07,2.1,0.49200000000000005,0.489,0.532,0.529,52.66,116.72,112.06,45.0,37.0
141,2015,22,Orlando Magic,95.7,101.42,-5.72,92.23,103.36,109.57,-6.21,0.494,0.514,0.525,0.551,49.03,105.05,117.82,25.0,57.0
142,2015,23,Philadelphia 76ers,91.78,100.6,-8.82,95.56,95.73,105.04,-9.32,0.45899999999999996,0.49700000000000005,0.494,0.539,48.13,97.2,117.89,18.0,64.0
143,2015,24,Phoenix Suns,102.4,103.31,-0.9,96.12,105.46,106.58,-1.12,0.501,0.49700000000000005,0.537,0.539,48.78,112.24,114.28,39.0,43.0
144,2015,25,Portland Trailblazers,102.79,98.56,4.23,93.72,108.72,104.19,4.53,0.508,0.47600000000000003,0.544,0.513,50.7,117.16,109.73,51.0,31.0
145,2015,26,Sacramento Kings,101.34,105.05,-3.71,92.71,108.34,112.12,-3.77,0.49,0.507,0.542,0.5429999999999999,51.75,109.95,119.06,29.0,53.0
146,2015,27,San Antonio Spurs,103.18,96.99,6.2,93.47,108.87,102.58,6.29,0.517,0.484,0.555,0.521,50.88,121.99,106.65,55.0,27.0
