,Year,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
148,1997,James Robinson,PG,26.0,MIN,2.0,0.0,15.5,2.5,6.0,0.41700000000000004,2.0,5.0,0.4,0.5,1.0,0.5,0.583,0.0,0.0,,0.5,1.0,1.5,1.5,1.0,0.0,0.5,2.0,7.0
149,1997,Rumeal Robinson,PG,30.0,POR,4.0,0.0,6.0,0.5,1.5,0.33299999999999996,0.0,0.5,0.0,0.5,1.0,0.5,0.33299999999999996,0.3,0.3,1.0,0.0,0.3,0.3,1.3,0.3,0.0,0.3,1.5,1.3
150,1997,Dennis Rodman*,PF,35.0,CHI,19.0,14.0,28.2,1.6,4.3,0.37,0.2,0.8,0.25,1.4,3.4,0.4,0.395,0.8,1.4,0.5770000000000001,3.1,5.3,8.4,1.4,0.5,0.2,1.5,3.9,4.2
151,1997,Rodney Rogers,SF,25.0,LAC,3.0,3.0,28.3,4.0,9.7,0.414,0.7,3.3,0.2,3.3,6.3,0.526,0.44799999999999995,2.0,2.7,0.75,1.0,1.3,2.3,2.0,1.3,1.0,2.3,4.3,10.7
152,1997,Sean Rooks,C,27.0,LAL,8.0,0.0,6.8,0.5,1.1,0.444,0.0,0.0,,0.5,1.1,0.444,0.444,0.8,1.0,0.75,0.6,0.9,1.5,0.1,0.4,0.4,0.4,1.3,1.8
153,1997,Malik Rose,PF,22.0,CHH,2.0,0.0,6.0,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,2.0,0.5,2.5,0.5,0.0,0.0,1.0,1.0,2.0
154,1997,Donald Royal,SF,30.0,CHH,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
155,1997,Bryon Russell,SF,26.0,UTA,20.0,20.0,37.9,4.5,9.7,0.461,1.8,5.1,0.35600000000000004,2.7,4.6,0.5760000000000001,0.5539999999999999,1.6,2.2,0.721,0.9,3.7,4.6,1.4,1.1,0.3,1.0,3.0,12.3
156,1997,Arvydas Sabonis*,C,32.0,POR,4.0,4.0,27.0,4.5,10.5,0.429,0.5,2.0,0.25,4.0,8.5,0.47100000000000003,0.452,1.8,2.0,0.875,2.0,4.5,6.5,2.3,0.8,0.8,2.3,4.8,11.3
157,1997,Danny Schayes,PF,37.0,ORL,5.0,2.0,18.4,1.8,4.6,0.391,0.0,0.0,,1.8,4.6,0.391,0.391,0.8,0.8,1.0,0.8,1.6,2.4,1.0,0.4,0.2,0.8,3.2,4.4
158,1997,Detlef Schrempf,SF,34.0,SEA,12.0,12.0,38.3,5.6,11.8,0.47200000000000003,1.3,2.4,0.552,4.3,9.4,0.451,0.528,4.4,5.4,0.815,1.7,4.1,5.8,3.4,1.1,0.1,1.5,3.3,16.9
159,1997,Byron Scott,SG,35.0,LAL,8.0,0.0,16.8,1.9,4.1,0.455,0.5,1.4,0.364,1.4,2.8,0.5,0.515,2.1,2.4,0.895,0.0,1.5,1.5,1.4,0.1,0.0,1.0,1.9,6.4
160,1997,Dennis Scott,SF,28.0,ORL,5.0,1.0,18.8,1.2,4.6,0.261,0.6,2.2,0.273,0.6,2.4,0.25,0.326,0.0,0.0,,0.4,1.4,1.8,1.0,0.4,0.0,0.4,1.6,3.0
161,1997,Malik Sealy,SG,26.0,LAC,3.0,3.0,26.3,4.0,8.3,0.48,0.3,1.7,0.2,3.7,6.7,0.55,0.5,3.7,5.0,0.733,0.3,0.7,1.0,1.7,0.0,0.0,1.7,3.3,12.0
162,1997,Rony Seikaly,C,31.0,ORL,3.0,3.0,28.7,2.3,7.3,0.318,0.0,0.0,,2.3,7.3,0.318,0.318,1.7,2.3,0.7140000000000001,1.7,3.7,5.3,0.0,0.3,1.0,1.3,3.3,6.3
163,1997,Brian Shaw,PG,30.0,ORL,5.0,4.0,16.4,0.6,3.8,0.158,0.4,1.2,0.33299999999999996,0.2,2.6,0.077,0.21100000000000002,0.4,0.8,0.5,0.2,1.6,1.8,1.6,0.2,0.2,1.6,1.0,2.0
164,1997,Steve Smith,SG,27.0,ATL,10.0,10.0,42.1,5.5,13.9,0.396,1.8,5.5,0.327,3.7,8.4,0.44,0.46,6.1,7.4,0.8240000000000001,1.2,2.7,3.9,1.7,0.4,0.1,2.8,3.8,18.9
165,1997,Tony Smith,PG,28.0,CHH,2.0,0.0,4.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.5,1.0,0.5,0.0,0.5,0.5,1.0,0.5,0.0,1.5,0.5,0.5
166,1997,Eric Snow,PG,23.0,SEA,8.0,0.0,6.0,0.6,1.4,0.455,0.3,0.5,0.5,0.4,0.9,0.429,0.545,0.1,0.3,0.5,0.0,0.3,0.3,1.5,0.5,0.0,0.0,0.9,1.6
167,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,1997,John Starks,SG,31.0,NYK,9.0,1.0,28.1,4.9,11.0,0.444,1.4,4.6,0.317,3.4,6.4,0.534,0.51,2.8,3.4,0.8059999999999999,0.8,2.7,3.4,2.8,1.1,0.0,2.2,2.8,14.0
169,1997,Larry Stewart,SF,28.0,SEA,4.0,0.0,4.0,1.3,1.5,0.833,0.3,0.5,0.5,1.0,1.0,1.0,0.917,0.5,0.5,1.0,0.0,0.3,0.3,0.5,0.5,0.3,0.5,1.0,3.3
170,1997,John Stockton*,PG,34.0,UTA,20.0,20.0,37.0,5.7,10.9,0.521,1.0,2.5,0.38,4.7,8.4,0.563,0.565,3.9,4.5,0.856,0.9,3.0,3.9,9.6,1.7,0.3,3.1,2.6,16.1
171,1997,Mark Strickland,PF,26.0,MIA,4.0,0.0,4.0,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.5,0.0,0.0,0.8,0.8,0.3,0.3,0.0,0.5,0.0,2.0
172,1997,Rod Strickland,PG,30.0,WSB,3.0,3.0,41.3,7.3,17.3,0.423,0.3,0.7,0.5,7.0,16.7,0.42,0.433,4.7,6.3,0.737,1.7,4.3,6.0,8.3,1.0,0.0,3.7,2.7,19.7
173,1997,Derek Strong,PF,28.0,ORL,5.0,5.0,39.0,4.2,8.0,0.525,0.0,0.2,0.0,4.2,7.8,0.5379999999999999,0.525,3.8,5.0,0.76,4.0,6.0,10.0,0.8,0.4,0.4,2.8,4.0,12.2
174,1997,Otis Thorpe,C,34.0,DET,5.0,5.0,30.4,4.2,8.2,0.512,0.0,0.0,,4.2,8.2,0.512,0.512,1.4,1.8,0.778,2.4,4.0,6.4,0.8,0.4,0.0,1.8,4.2,9.8
175,1997,Sedale Threatt,SG,35.0,HOU,16.0,0.0,16.6,1.4,3.5,0.39299999999999996,0.6,1.9,0.3,0.8,1.6,0.5,0.473,0.4,0.5,0.75,0.1,0.9,1.1,3.0,0.4,0.3,0.8,2.2,3.7
176,1997,Wayman Tisdale,PF,32.0,PHO,4.0,4.0,9.0,1.5,3.8,0.4,0.0,0.0,,1.5,3.8,0.4,0.4,0.0,0.0,,0.5,1.3,1.8,0.0,0.0,0.0,0.3,1.3,3.0
177,1997,Gary Trent,PF,22.0,POR,4.0,0.0,15.3,3.3,7.3,0.44799999999999995,0.0,0.3,0.0,3.3,7.0,0.46399999999999997,0.44799999999999995,1.5,2.8,0.545,1.3,1.8,3.0,1.0,0.0,0.3,1.5,2.8,8.0
178,1997,Nick Van Exel,PG,25.0,LAL,9.0,9.0,39.2,5.0,13.2,0.37799999999999995,1.3,4.9,0.273,3.7,8.3,0.44,0.429,3.1,3.8,0.8240000000000001,0.7,2.8,3.4,6.4,1.1,0.0,2.0,2.1,14.4
179,1997,Loy Vaught,PF,28.0,LAC,3.0,3.0,30.0,6.3,10.3,0.613,0.3,1.0,0.33299999999999996,6.0,9.3,0.643,0.629,2.0,3.0,0.667,1.7,7.3,9.0,0.7,1.0,0.7,2.0,4.0,15.0
180,1997,Stojko Vranković,C,33.0,MIN,1.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
181,1997,John Wallace,SF,22.0,NYK,4.0,1.0,10.0,1.0,3.8,0.267,0.0,0.3,0.0,1.0,3.5,0.28600000000000003,0.267,0.5,0.5,1.0,0.5,1.3,1.8,1.3,0.3,0.5,0.5,1.5,2.5
182,1997,Rasheed Wallace,PF,22.0,POR,4.0,4.0,37.0,8.3,14.0,0.589,0.5,1.3,0.4,7.8,12.8,0.608,0.607,2.8,5.0,0.55,2.0,4.0,6.0,1.5,0.5,0.5,1.5,4.3,19.8
